CUST_ID|NO_OF_CARDS_PURCHASES|NO_OF_CREDIT_CARDS_TRANSACTIONS|NO_OF_DEBIT_CARDS_TRANSACTIONS|NO_OF_TELLER_TRANSACTIONS|NO_OF_ATM_TRANSACTIONS|NO_OF_INTERNATIONAL_CARDS_TRANSACTIONS|NO_OF_INTERNATIONAL_ATM_TRANSACTIONS|NO_OF_E_TRANSACTIONS|VALUE_OF_CARDS_PURCHASES|VALUE_OF_CREDIT_CARDS_TRANSACTIONS|VALUE_OF_DEBIT_CARDS_TRANSACTIONS|VALUE_OF_INTERNATIONAL_CARDS_TRANSACTIONS|VALUE_OF_INTERNATIONAL_ATM_TRANSACTIONS
232762|30|30|0|12|4|0|0|0|1445.950000|1445.950000|0.000000|0.000000|0.000000
232789|1|0|1|37|5|0|0|1|20.000000|0.000000|20.000000|0.000000|0.000000
232811|14|0|14|200|15|0|0|11|481.450000|0.000000|481.450000|0.000000|0.000000
232841|11|11|0|24|0|0|0|0|272.790000|272.790000|0.000000|0.000000|0.000000
232861|24|24|0|11|0|0|0|0|724.810000|724.810000|0.000000|0.000000|0.000000
232893|92|92|0|11|47|0|0|0|4307.780000|4307.780000|0.000000|0.000000|0.000000
232916|146|146|0|354|43|10|0|14|7022.390000|7022.390000|0.000000|360.260000|0.000000
232951|32|32|0|22|3|0|0|0|1583.310000|1583.310000|0.000000|0.000000|0.000000
232977|15|1|14|82|4|1|0|0|1742.340000|582.700000|1159.640000|582.700000|0.000000
233001|64|64|0|639|134|1|0|66|3427.320000|3427.320000|0.000000|65.960000|0.000000
233029|6|0|6|33|36|0|0|0|239.090000|0.000000|239.090000|0.000000|0.000000
233047|17|0|17|94|0|0|0|0|525.210000|0.000000|525.210000|0.000000|0.000000
233063||||22|0|0|0|0||||0.000000|0.000000
233082|16|16|0|29|10|4|0|0|615.000000|615.000000|0.000000|109.510000|0.000000
233103|15|15|0|0|70|0|0|0|369.530000|369.530000|0.000000|0.000000|0.000000
233123|48|48|0|11|0|4|0|11|1951.750000|1951.750000|0.000000|264.070000|0.000000
233154|||||||||||||
233168|99|99|0|379|0|5|0|1|9420.250000|9420.250000|0.000000|408.640000|0.000000
233185|58|58|0|9|0|0|0|0|1078.850000|1078.850000|0.000000|0.000000|0.000000
233211||||24|0|0|0|0||||0.000000|0.000000
233233|20|0|20|15|0|0|0|0|198.340000|0.000000|198.340000|0.000000|0.000000
233250|1|1|0|141|27|5|0|0|36.230000|36.230000|0.000000|530.850000|0.000000
233266|32|32|0|29|1|0|0|0|2391.580000|2391.580000|0.000000|0.000000|0.000000
233292||||6|0|0|0|0||||0.000000|0.000000
233321|24|24|0|35|2|0|0|0|2049.210000|2049.210000|0.000000|0.000000|0.000000
233342|||||||||||||
233364|2|0|2|142|0|0|0|0|43.500000|0.000000|43.500000|0.000000|0.000000
233386|3|0|6|62|5|0|0|0|49.810000|0.000000|219.810000|0.000000|0.000000
233413|6|6|0|7|0|0|0|0|840.860000|840.860000|0.000000|0.000000|0.000000
233435|52|52|0|23|0|0|0|0|2134.420000|2134.420000|0.000000|0.000000|0.000000
233448|13|13|0|122|7|1|0|0|2490.540000|2490.540000|0.000000|190.590000|0.000000
233463|36|36|0|67|0|0|0|49|987.150000|987.150000|0.000000|0.000000|0.000000
233481|54|0|54|32|75|0|0|0|1075.110000|0.000000|1075.110000|0.000000|0.000000
233504|28|28|0|19|100|2|0|0|1338.690000|1338.690000|0.000000|95.140000|0.000000
233526|68|68|0|2|0|1|0|0|2437.360000|2437.360000|0.000000|42.310000|0.000000
233542|19|19|0|265|0|0|0|70|633.610000|633.610000|0.000000|0.000000|0.000000
233574|93|93|0|5|0|0|0|0|1717.720000|1717.720000|0.000000|0.000000|0.000000
233602|60|0|60|54|73|0|0|0|1723.910000|0.000000|1723.910000|0.000000|0.000000
233630|63|63|0|7|9|0|0|0|1875.540000|1875.540000|0.000000|0.000000|0.000000
233656||||148|0|0|0|1||||0.000000|0.000000
233687|192|157|35|42|23|10|0|193|7176.270000|6331.130000|845.140000|420.120000|0.000000
233718|||||||||||||
233735|51|51|0|36|18|0|0|0|2272.940000|2272.940000|0.000000|0.000000|0.000000
233758|46|46|0|32|0|1|0|0|2030.850000|2030.850000|0.000000|49.200000|0.000000
233777|146|0|146|3|0|0|0|0|3760.440000|0.000000|3760.440000|0.000000|0.000000
233795|12|12|0|59|29|0|0|0|576.950000|576.950000|0.000000|0.000000|0.000000
233817||||2|0|0|0|0||||0.000000|0.000000
233833|12|12|0|21|0|0|0|0|656.350000|656.350000|0.000000|0.000000|0.000000
233858|13|13|0|5|0|0|0|0|562.500000|562.500000|0.000000|0.000000|0.000000
233891|230|11|221|93|44|8|0|118|4918.650000|339.310000|4680.340000|116.450000|0.000000
233917|19|19|0|20|0|3|0|3|4399.420000|4399.420000|0.000000|2497.110000|0.000000
233941||||73|0|0|0|0||||0.000000|0.000000
233960|36|36|0|17|40|0|0|11|1455.620000|1455.620000|0.000000|0.000000|0.000000
233977|1|1|0|2|0|0|0|0|65.510000|65.510000|0.000000|0.000000|0.000000
233996|60|0|60|1|0|1|0|255|1413.790000|0.000000|1413.790000|5.140000|0.000000
234020|6|6|0|2|0|1|0|0|403.280000|403.280000|0.000000|24.430000|0.000000
234043|2|2|0|30|0|0|0|0|146.420000|146.420000|0.000000|0.000000|0.000000
234063||||2|0|0|0|0||||0.000000|0.000000
234090|12|12|0|7|0|0|0|0|398.690000|398.690000|0.000000|0.000000|0.000000
234116|||||||||||||
234131||||14|0|0|0|0||||0.000000|0.000000
234153||||10|0|0|0|0||||0.000000|0.000000
234172|48|48|0|11|0|0|0|113|1949.420000|1949.420000|0.000000|0.000000|0.000000
234194|151|104|47|38|0|7|0|2|6452.860000|5107.500000|1345.360000|555.140000|0.000000
234217|44|44|0|105|54|0|0|0|1756.130000|1756.130000|0.000000|0.000000|0.000000
